,nitrogen_kg_per_t_greenwood,phosphate_kg_per_t_greenwood,potassium_kg_per_t_greenwood,herbicide_kg_per_t_greenwood,diesel_planting_L_per_t_greenwood,lubricants_planting_L_per_t_greenwood,electric_planting_MJ_per_t_greenwood,diesel_harvesting_L_per_t_greenwood_ME,lubricants_harvesting_L_per_t_greenwood_ME,gasoline_harvesting_L_per_t_greenwood_ME,harvesting_equipment_harvesting_kg_per_t_greenwood_ME,yield_residue_ton_of_drylog
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
mean,1.04484944715004,0.18427906947453276,0.00011776203127966995,1.4138594829788906e-08,0.39992248823854176,0.007194719360190864,0.2985226012027716,6.042314158123691,0.4465945322749774,0.8798922926508301,0.5152835097515587,49.43199357465615
std,0.34484420859982506,0.06151451816700189,7.279321637125513e-05,8.60933777472195e-09,0.07962828995914795,0.0014296662372210907,0.04940027228850253,1.2758107688114169,0.1192367043395181,0.1789170043295777,0.08631189032921192,14.696497626478639
min,0.3255915814992206,0.061518998971033,5.5940808339767965e-09,1.554860048579028e-12,0.2049212180616645,0.0033018593056325,0.1654178530384025,1.755360050067334,0.2266637325893372,0.344964712032068,0.2968344787225854,26.64786465433886
25%,0.7680038591597834,0.1350044938095574,5.599711466497639e-05,6.861722481050119e-09,0.3430422409647702,0.00615364686556915,0.26196247675531686,5.141768970403961,0.3669565167463593,0.7511287303778834,0.4527798891422633,41.29938494011702
50%,1.0136614759358782,0.1798651485140432,0.0001143348033366,1.3763151666799504e-08,0.3921810545632515,0.007073997997351349,0.2951079129750117,5.949321848525869,0.42301652451536664,0.8645279791455729,0.5085257173124826,47.15632597178571
75%,1.288129548362746,0.22700174404731,0.000173265556837225,2.0666600070735788e-08,0.4501899545285787,0.00810181011408445,0.3302363159659344,6.821668031688764,0.4952379504172623,0.9894228354920722,0.5705372788217585,54.33547201516999
max,2.5571311945814843,0.4266527785301817,0.0003504086089629,4.1504672607588785e-08,0.8374120571249553,0.0135371986393779,0.5600278034025261,12.59562242444652,1.717757450390967,1.626658515770552,0.9456040733644406,628.1729147070313
