,nitrogen_kg_per_t_greenwood,phosphate_kg_per_t_greenwood,potassium_kg_per_t_greenwood,herbicide_kg_per_t_greenwood,diesel_planting_L_per_t_greenwood,lubricants_planting_L_per_t_greenwood,electric_planting_MJ_per_t_greenwood,diesel_harvesting_L_per_t_greenwood_MA,lubricants_harvesting_L_per_t_greenwood_MA,gasoline_harvesting_L_per_t_greenwood_MA,harvesting_equipment_harvesting_kg_per_t_greenwood_MA,yield_residue_ton_of_drylog
2367,0.19027114139530274,0.03545649485132663,0.000298862842692737,0.0016962359663049017,0.04023758369449063,0.0017107395742134116,0.4320220339301926,5.773561854606106,0.07181419209172507,1.443158502752218,0.29535961435430264,51.22090214118727
2368,0.09019826776036581,0.032779092114699,5.365533657361758e-05,0.002638821950760086,0.07548439445694628,6.98142653505338e-05,0.4693762334468224,5.077234251755542,0.04727217508773139,1.655490035136767,0.31715042117699727,79.34341447161
2369,0.28846287543441407,0.019069901803325344,0.0004686322933219267,0.0038271774232379136,0.32420766066439555,0.0012520650483521915,0.46544366048568575,3.8637424715299513,0.07644801483105838,1.6139125900284919,0.33247147180319675,78.50827001793307
2370,0.1873780058165601,0.03786803965847109,0.0001298443243480338,0.004146840820440178,0.055655635586320786,0.0006023927574534639,0.36684787022356696,5.715115967821537,0.05290625597380871,1.1955992756899034,0.24265330566832885,107.7413742892832
2371,0.19443478509269624,0.048995547375172054,0.00017918490229567547,0.0054340219034400405,0.05700308374621096,0.0015695058950496554,0.48541116812289076,4.231268084291206,0.08489822338073567,1.8580848788164226,0.3385237638860986,53.42186039158121
2372,0.0957566295616116,0.0357807089093345,0.00029031642498447246,0.004777066552407269,0.15550375764568922,0.0017448921436245405,0.4380593472079826,3.4465890584471635,0.059706277733256014,1.1933679826962007,0.31288862199311174,88.91983771589564
2373,0.585363418413505,0.03594305903969427,0.00036390366652530614,0.0011153563534416588,0.08849379498044813,0.0008180952991850009,0.29993824563718596,3.6538229365323898,0.042952910389993736,1.1814716118569428,0.21502748459820833,93.0850036731477
2374,1.1350359287597203,0.030784498482751506,0.0004677101195669153,0.005901425923403484,0.13103539135088813,0.0008755253487968854,0.557717290559738,4.9188075145069785,0.10624395657448239,1.7992399026628878,0.38143918409700794,52.09618777462868
2375,0.08347887917867113,0.05288778251298482,0.0005880530654142929,0.007692782969776211,0.12725082883763478,0.0007567341642952886,0.5678429468478261,7.126168445307162,0.09971323556287841,1.7117919070730523,0.41478840927192867,51.568142633377576
2376,0.13097213936161195,0.04403506286650725,0.0002404104458673416,3.151956383798982e-05,0.05126438875032291,0.001029877331394346,0.4992947701089317,3.950150172140112,0.07915651953935249,1.4995509947255559,0.331609101567087,86.53598400780854
2377,0.5408586157667945,0.02449285258683189,9.968748594455266e-05,0.00257149491630764,0.1966763358747256,0.001655059285006436,0.5449251357662391,4.411936175690191,0.06652626572446822,1.7225706652041282,0.38902118588595475,67.69812770719386
2378,0.14349462085515352,0.04340947119583141,0.00032123033697969695,0.0053231084670342325,0.248149573055264,0.0017124196292739927,0.4500724174760403,3.7278907268159047,0.08592254562120558,1.3846093640996433,0.34607725994828814,76.41525907573079
2379,0.39815937212921904,0.03219381001894708,0.00031559706660275243,0.005670290362822992,0.24195185841003758,0.0017674584078636586,0.48881349893323084,3.8386639611547895,0.07126890536733585,1.514999933910601,0.35203841762396276,85.34828028161537
2380,0.5928049221661748,0.05202016918641002,9.203904301680848e-05,0.0008127841799398335,0.1746341572680822,0.0006180667522412321,0.47627149493693594,3.8059097648734825,0.0604475401489152,1.5670242991369518,0.3424446709160375,88.58396684625306
2381,0.99863572027788,0.04710793086090718,0.00036725185812741204,0.006590917262918041,0.2257495589749592,0.0012166949862182147,0.5269643413966407,8.84527293559843,0.07930607612875402,1.843691279579599,0.3476336681439289,66.71637952474734
2382,0.10978383139295664,0.04051423726542194,0.0003115207823770372,0.0021710472802654243,0.15058367297039144,0.0017594076093174645,0.4340306927433598,4.145313034094815,0.06292670946979777,1.5225363927148017,0.30557864074979363,59.136072235402004
2383,0.5944463572168693,0.05300396573512318,0.00013876624166286712,0.0065204846352872525,0.20850984069266557,0.0017951472113936686,0.4745699903941177,3.915067265453172,0.07722902049559764,1.6199549744326334,0.3404258866965816,62.030244622883544
2384,0.29104091520854375,0.035925361938645886,8.76077022926965e-06,0.006083818830849108,0.19115746191174576,0.0011577965381492244,0.4772279161930647,3.797817474670754,0.07480955616585193,1.5299486876754083,0.33134656722222045,75.13209592462624
2385,0.2425295531677769,0.0487396089268714,0.000515212474059896,0.0008846139337438957,0.19636134967466853,0.0006546075537185402,0.48794767249640963,6.900610139556217,0.09636930167456707,1.6398726098155667,0.34648122849899804,74.6745488320762
2386,1.0111002819974024,0.030541489475911194,0.00038815211876585073,0.002381224795108023,0.2270200256536784,0.0011711598206165731,0.4634301375954983,7.842403384680021,0.06953849988897354,2.052623235979278,0.32838945798441765,63.80010013512656
2387,0.47505751079520653,0.03635837010936588,0.00048991391337439,0.007556880058647404,0.1273642620796876,0.0004504669246383659,0.5516373048446911,6.412866914753496,0.09100402448720936,1.4969684152074287,0.3766732371953327,52.23906328202152
2388,0.09903958184664148,0.0560721518593968,0.00014216579846137675,0.003712133084354312,0.2680754050039587,0.0015221355154614706,0.4612467093526638,3.7742148008485725,0.0640432974793468,1.4485877945570969,0.3290220974100993,55.95756050619582
2389,1.1440117069636033,0.01999109832356757,0.00022908722984925852,0.001974316088946433,0.08190941178776968,0.001673008717511279,0.4734884223676336,3.8765049437251426,0.0590140795541544,1.7823714879567625,0.3516385448467037,78.65381539991621
2390,1.115664649421542,0.044349686385017434,0.0002034312682903114,0.002332564603024522,0.29945687745136074,0.0014179064487670433,0.5247434949722682,4.498298306393567,0.09392096142576434,2.034206283911261,0.3837875649290687,46.507819542603606
2391,1.0321811940614825,0.04280851031862438,0.00043499721589916374,0.0034628393833274593,0.14103765374260693,0.0018684573541467998,0.45384698680745966,3.755960547425451,0.07238826860514463,1.6991468261465705,0.31980627903594167,80.71907701903892
2392,0.2748566061985287,0.05933040181659065,2.836649183104998e-05,0.0018643895044749951,0.3490038440539839,0.0003959412783509734,0.5250176238487003,4.33646022060233,0.0895058838357996,1.5095804340448435,0.3857745267046535,70.15181247961341
