,nitrogen_kg_per_t_greenwood,phosphate_kg_per_t_greenwood,potassium_kg_per_t_greenwood,herbicide_kg_per_t_greenwood,diesel_planting_L_per_t_greenwood,lubricants_planting_L_per_t_greenwood,electric_planting_MJ_per_t_greenwood,diesel_harvesting_L_per_t_greenwood_ME,lubricants_harvesting_L_per_t_greenwood_ME,gasoline_harvesting_L_per_t_greenwood_ME,harvesting_equipment_harvesting_kg_per_t_greenwood_ME,yield_residue_ton_of_drylog
1996,1.1739077921186336,0.15045322853439996,0.00016220725107005154,1.5222944782651785e-08,0.3624508917465057,0.00810716570082799,0.2965861086105953,6.599392812792272,0.561661255292864,0.9295103824484302,0.5081505657457314,49.45235629733541
1997,1.365621195279619,0.16246804705179568,9.578691784332274e-06,7.327772406741764e-09,0.2915487169125646,0.006339307953966842,0.26091489791841216,3.8998768265106016,0.35843209557554584,0.839907808565623,0.45693565987013013,50.71856882111438
1998,0.6320927642729721,0.15566146279330806,7.22162377395549e-06,2.138300221229271e-08,0.45203497618748817,0.007454918454312084,0.28374246550686977,5.57416021461469,0.485524687248518,0.792894208130592,0.5049344074014214,50.37305145138996
1999,1.008235219717081,0.19768781932804957,7.925742551681813e-05,6.563496760048355e-09,0.3753549124888489,0.00843782035242404,0.33526120958889344,5.559243309055405,0.5165477413302407,0.793546332295691,0.5807732154321794,33.45943185189767
2000,0.6833207944849008,0.14809821628839023,0.0001793158929047127,2.0759155007793676e-08,0.2945351689394488,0.007452736029562062,0.2550553060562351,4.312493113137135,0.46035448528919126,0.8880425574006503,0.4626492363359164,60.03953379898683
2001,0.9413743464043294,0.13732302219077538,0.0001290881283775739,5.136609436613136e-09,0.3175450169558616,0.006452648226539568,0.2516535574235328,5.503473406814394,0.31506892483211446,0.7243367178410088,0.4158857996698085,56.89659207567796
2002,0.6026838005456323,0.18289138500306173,9.188093416947005e-05,1.6672731242058783e-08,0.39824920693039134,0.006591013913159539,0.2679511323121541,5.606011332681355,0.3519855176268045,0.9582013339933342,0.4763472470971696,54.7653398547938
2003,1.4441136795000586,0.18267727661885166,0.00013252318880375053,5.555698505313904e-09,0.5255798484741362,0.008436876624370064,0.36990020929057826,7.077902547441733,0.5314950178230042,1.0079801422295072,0.6348882633728969,39.06057688881382
2004,1.1290601788689003,0.15235700481877756,0.00016142187328858118,1.1334328710974428e-08,0.3704794709474561,0.005361709175537655,0.24641534771164142,4.351278810543457,0.46185445131884356,0.585680238101362,0.4176216114910909,46.56849353070301
2005,1.4557305458745928,0.13487249629900736,6.504127141852847e-05,2.3042078811039044e-08,0.485976540940547,0.007264917554427264,0.3446617440699568,7.639015391191724,0.493330482480333,0.881925363686532,0.5909543472055974,47.10719690687331
2006,0.7732341114061553,0.2976069055260177,9.219645981529199e-05,2.2419113140833382e-08,0.46480989646638,0.0070228794700398275,0.32305158363650494,7.060459421046503,0.5960476218777994,0.829450096300731,0.542440176768119,50.270407609571116
2007,1.2226083117795468,0.19705680405857365,9.847878320741449e-05,3.6350450390286566e-08,0.5393806512867954,0.011275121519375979,0.3967516091867547,7.525178929177999,0.6301616249230605,1.2578529679166424,0.708700354540541,48.75462270596614
2008,2.0717609720638133,0.28173428255281274,0.00031647672890826507,3.185486704139971e-08,0.5390701663249993,0.009106363331012527,0.4541484258636567,9.794688880921539,0.5704773846496537,1.3086716219595627,0.715096688333738,64.42889375487081
2009,1.1407758367579632,0.1832627512708288,0.0001724767805467959,1.7281109537303577e-08,0.4050479217915413,0.008590874970733658,0.2913691601068923,7.22168551482474,0.43589508838429475,0.8885737348707251,0.5401874340333469,49.3277385991932
2010,1.1892374933652197,0.22261652216086156,0.00015267242766581692,4.81636197432379e-09,0.41652942294286477,0.007360847747416947,0.337051648528735,7.112311674528174,0.422813587511339,0.8266296648192824,0.5356465961637141,45.70210509607151
2011,0.7529650125329459,0.14579814104995406,0.00012117889258304798,2.686222472577477e-10,0.3187600398051949,0.006324305112330721,0.2369448575741643,4.746968739685174,0.3116171902075383,0.5288080648141158,0.44141076354466025,46.825642713775494
