,nitrogen_kg_per_t_greenwood,phosphate_kg_per_t_greenwood,potassium_kg_per_t_greenwood,herbicide_kg_per_t_greenwood,diesel_planting_L_per_t_greenwood,lubricants_planting_L_per_t_greenwood,electric_planting_MJ_per_t_greenwood,diesel_harvesting_L_per_t_greenwood_MA,lubricants_harvesting_L_per_t_greenwood_MA,gasoline_harvesting_L_per_t_greenwood_MA,harvesting_equipment_harvesting_kg_per_t_greenwood_MA,yield_residue_ton_of_drylog
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
mean,1.2804204366662126,0.22576162967246124,0.00014468181532839504,1.7322016492396504e-08,0.4900980116010679,0.008818626024797414,0.3658533852597914,8.990185493232573,0.9205367423966098,2.3462525754301997,0.4964761958503341,40.51508328890557
std,0.4316816281594441,0.07659385518281929,9.039412346651638e-05,1.0604514997935277e-08,0.1029945993230641,0.001852411958962187,0.06540255384348496,1.7841944507098981,0.17592676708580832,0.4651173024756501,0.09179290371941115,12.054818954574102
min,0.4245993471194254,0.0713203231306169,6.306766335340465e-09,2.0351384054596187e-12,0.2115993478420428,0.0040022266429328,0.1829359413792244,4.588996744168002,0.4569066686716543,1.1518171710113767,0.2505975461973415,21.25788385276768
25%,0.9387420751828865,0.1644291741319592,6.888507403071265e-05,8.437448273321642e-09,0.4141779788615084,0.00747098149233015,0.3175070210369522,7.702804236626191,0.7922939994159054,2.0099157907137593,0.4302673715953805,33.548214036711485
50%,1.243842601123507,0.2201741880800026,0.00013772693243414998,1.6803958082664383e-08,0.4784769103539096,0.00865266678999185,0.3595523779138422,8.832945682252593,0.904467133253873,2.296904119201251,0.4886108206597306,38.649432141569186
75%,1.5712297159368553,0.27852513931655315,0.000212910004347,2.526289604440395e-08,0.5545695710535733,0.0099941028366638,0.40681624140588235,10.122037409596144,1.0310425485581862,2.6360441589387165,0.5540524038035785,44.68823449131111
max,3.27644023219924,0.5608827955345153,0.000517292795427,5.7027531148950736e-08,0.9881151314821875,0.0181471854674345,0.6676889525155997,18.03311255439459,1.6581896909234162,4.383159749916059,0.9801091366505824,442.1379553055932
