,nitrogen_kg_per_t_greenwood,phosphate_kg_per_t_greenwood,potassium_kg_per_t_greenwood,herbicide_kg_per_t_greenwood,diesel_planting_L_per_t_greenwood,lubricants_planting_L_per_t_greenwood,electric_planting_MJ_per_t_greenwood,diesel_harvesting_L_per_t_greenwood_MA,lubricants_harvesting_L_per_t_greenwood_MA,gasoline_harvesting_L_per_t_greenwood_MA,harvesting_equipment_harvesting_kg_per_t_greenwood_MA,yield_residue_ton_of_drylog
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
mean,0.3738121187246815,0.038962697325992494,0.00028720002254832273,0.0035321668198490114,0.17171773921903077,0.0009976258176475955,0.477146712386908,5.109341207386917,0.0777742987225311,1.5989352909654593,0.3348529890862379,68.49083274734137
std,0.28005355770524476,0.011982326870124078,0.0001694214522758165,0.0020826036591468796,0.09054826087015413,0.0005937174422748546,0.054959505281842215,1.5589195366499464,0.013169496383815996,0.24164932054809887,0.04032063115839918,15.32519593850318
min,0.0034364454452104,0.0136054044959981,1.06121921164206e-08,2.039860415745255e-07,0.0077345866704824,3.036216815169897e-07,0.2581120856715936,2.146492935056981,0.0345325893226678,0.7656916054788111,0.1816439881730538,40.00062746692876
25%,0.162848183714689,0.029055543767817802,0.0001424011293045,0.0017545810959194,0.1056870927689535,0.0004844943835065,0.44256775140641913,3.940821638064509,0.06877128237583742,1.4334964138464665,0.3090188970257657,57.801387775637735
50%,0.2809561341506691,0.03836893872208725,0.00028582281142235,0.00350452416603965,0.1541897674682738,0.00098559389140105,0.47970679127684723,4.538285201646019,0.0773985923583535,1.5978023498595084,0.33622056191809313,65.55821729197947
75%,0.5053691773993301,0.04828235850882355,0.000422921204272925,0.005234287418471725,0.21846750737116222,0.0014774970473489,0.5171661874359519,6.144170960301466,0.08646387911887232,1.7645329729197776,0.3634867766261364,75.76619882127814
max,1.4491061726141017,0.0704745698528,0.000695372460341,0.0084152257004324,0.7831290376095527,0.0024242028634104,0.6006191266571793,9.840458136863369,0.1345105041319359,2.439952626527931,0.4374797652365923,233.05870513761516
