,nitrogen_kg_per_t_greenwood,phosphate_kg_per_t_greenwood,potassium_kg_per_t_greenwood,herbicide_kg_per_t_greenwood,diesel_planting_L_per_t_greenwood,lubricants_planting_L_per_t_greenwood,electric_planting_MJ_per_t_greenwood,diesel_harvesting_L_per_t_greenwood_ME,lubricants_harvesting_L_per_t_greenwood_ME,gasoline_harvesting_L_per_t_greenwood_ME,harvesting_equipment_harvesting_kg_per_t_greenwood_ME,yield_residue_ton_of_drylog
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
mean,0.33432027246777596,0.034830962803057613,0.0002566139195605777,0.0031565143334904,0.1535635126937329,0.0008914499229269049,0.4266714644782591,3.1784373331104727,0.05710081135014823,0.5827487904716093,0.44825363295817144,76.52075669065079
std,0.25004805750570197,0.010627304718298846,0.00015082792529904395,0.0018519578905197755,0.08089613577678825,0.0005283723705487636,0.04723775164771946,0.7147807009676068,0.011873711302040232,0.1739562014660937,0.059917915219538875,16.990641202709273
min,0.0029733378730115,0.0123952702697758,1.0363657932575982e-08,2.109080073155243e-07,0.007934644710536,3.193988939432455e-07,0.244166049784665,1.431124395245598,0.0201139483878894,0.1655723146824349,0.2313697178521623,46.54330271713802
25%,0.14526225071946602,0.025941044088092675,0.00012810176798745,0.0015717923213263499,0.09478653632978187,0.000438526613045025,0.39725638509845396,2.688898817727757,0.048773243338591774,0.45720871164099464,0.40682210340590547,64.96476443348641
50%,0.2505124613838082,0.0343293718592073,0.00025608001055685,0.0031279667707295,0.13789356072312403,0.0008796749433430001,0.4296651336201903,3.0737777122213847,0.05670486405901965,0.570890685193848,0.44893157555868457,73.06305685927924
75%,0.45063238627670327,0.04308754964961567,0.00037860514682625,0.00464537147807235,0.19553586557101066,0.001326007025193175,0.46085502308759707,3.5466156988659816,0.06501280021811029,0.6959736204713418,0.49036059307592655,84.1288952803005
max,1.2713972729170286,0.061882934280824,0.0006169020209775,0.0074588214247743,0.7327520210311232,0.0021583935224009,0.532471719782993,7.343504367858551,0.1123463014842371,1.3656150707738743,0.6068386691518207,227.18254187281968
