,lumber_softwood_data_PNW,lumber_softwood_data_SE,lumber_softwood_data_NE,softwood_lumber_mass_req_data_PNW,softwood_lumber_mass_req_data_SE,softwood_lumber_mass_req_data_NE,softwood_green_wood_mass_req_data_PNW,softwood_green_wood_mass_req_data_SE,softwood_green_wood_mass_req_data_NE,softwood_loss_efficiency_PNW,softwood_loss_efficiency_SE,softwood_loss_efficiency_NE,LVL_wood_PNW,LVL_wood_SE,LVL_mass_req_PNW,LVL_mass_req_SE,LVL_green_wood_mass_req_PNW,LVL_green_wood_mass_req_SE,LVL_softwood_loss_efficiency_PNW,LVL_softwood_loss_efficiency_SE,lumber_hardwood_data_SE,lumber_hardwood_data_NE,lumber_hardwood_mass_req_SE,lumber_hardwood_mass_req_NE,lumber_hardwood_green_wood_mass_req_SE,lumber_hardwood_green_wood_mass_req_NE,hardwood_loss_efficiency_SE,hardwood_loss_efficiency_NE,LVL_wood_PNW_hardwood,LVL_wood_SE_hardwood,LVL_mass_req_PNW_hardwood,LVL_mass_req_SE_hardwood,LVL_green_wood_mass_req_PNW_hardwood,LVL_green_wood_mass_req_SE_hardwood,LVL_softwood_loss_efficiency_PNW_hardwood,LVL_softwood_loss_efficiency_SE_hardwood
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
mean,434.28483122868647,516.9247711498276,412.3464019566004,482.86894265235776,585.512805061629,469.0303492461839,0.9006500557359799,1.0671935873478446,0.8918490288974934,0.8733663752530594,0.8740678091845355,0.8279662023616707,482.74381952197496,526.4921903017663,527.6710363149347,579.9134820504075,0.9822855769178179,1.0241746168932746,0.904671411817515,0.8998915256572182,543.0949441631923,530.6307435308125,648.5070788990065,657.3320148361951,1.276738054667268,1.2774581236040117,0.7836087881211335,0.806846453665681,653.0,652.9999999999998,829.31,829.3100000000002,1.4422782608695657,1.4422782608695657,0.7874015748031495,0.7874015748031494
std,43.22608384894519,34.94898311841429,34.874948923482066,53.86368541218099,41.24271688478421,27.475334648642292,0.09285070701137003,0.13502416726748595,0.08272555030743671,0.05231897709024097,0.04664776948261213,0.042729674033631565,18.456763385481548,23.940700000349235,19.215560667785326,17.499092954564883,0.053380618502305195,0.03813873335574879,0.03775412304043063,0.015792916058120363,54.89210726728255,61.86525466439006,100.62200342904791,66.77661647378923,0.0835968365753914,0.09664164067700995,0.04960654475593121,0.024816162406087926,24.966174611316454,29.69327444585197,30.199983551664925,25.02472045802298,0.07837812895433346,0.053708288712479874,0.03286016950355824,0.013818739948479918
min,278.8477090909146,381.528141598218,277.5075119440305,332.51420004432464,500.5769233069056,369.768247504369,0.8180000023037137,0.656941055398977,0.1266706146842329,0.4100279319650802,0.6752631988648253,0.6689202511327559,402.67661260002205,448.1558587266911,443.6085904050482,524.423592975442,0.8001518672153732,0.9011698871211068,0.6562646650709212,0.8239354358349097,365.9270857134149,304.80653008075467,217.81057024016047,368.3120289857917,0.8250730416133006,0.795485062994148,0.5740329599897622,0.6877412219957608,544.6943438617027,555.8406774862042,697.193923467954,749.9562320102439,1.174853495355227,1.2690587289574404,0.5711950482953244,0.7209402924854883
25%,404.90951541019604,492.81914895775134,388.21789050092724,445.37081301351685,555.2527159691797,449.9220468032651,0.8285695548039461,0.9719100507861066,0.8545648200094093,0.8523859896371797,0.8421477905861932,0.7978645344969651,471.51746963340497,510.09774854064347,516.2512310110735,567.9015397011566,0.9510455253417124,1.0004670921433574,0.8834863080992363,0.890167802073767,504.7916046569282,488.61210560980385,580.1799752847678,611.4609992493703,1.2249304040052704,1.2200041513628899,0.7523650547470209,0.7914775850556723,637.814292424302,632.6662312049165,811.3621535487638,812.132223973073,1.3964088637050067,1.4088925012521742,0.7689626324288927,0.7788933545963104
50%,434.3969662338495,516.6141940081518,411.9320937759401,492.39135145290726,579.3858183345828,468.4699252017248,0.8679211766695106,1.059141479817784,0.9115616944788012,0.8895953562939942,0.8747797670227428,0.8283612414143062,482.6623855325337,526.3587184695921,527.6113731675437,579.2740693950095,0.9907096761777128,1.023852866266231,0.9112695884107922,0.8998500253505798,539.8879208749189,529.8181196863338,648.6571912295229,657.6224991392453,1.277813622365851,1.2769106825857501,0.7839539429084736,0.8070150055568446,652.8898455185654,652.8344569814799,829.2162308875083,828.3956027223695,1.4546472658875127,1.4418251604634904,0.7931444495889659,0.7873652621967184
75%,463.7121699578129,540.2441578893445,435.7498909440832,528.1920700763488,609.4071033995217,487.798992501596,0.941800967735017,1.1527007540208252,0.950232474933907,0.9109370650248227,0.9070926959938841,0.8604397439785975,494.1695371125906,542.6139898895644,539.1534889889368,591.339076623665,1.02114701494111,1.0470935755876702,0.9323444031761028,0.9096165069577962,578.6023584401569,571.1646658531466,715.4279496684713,703.2864579768886,1.328391778185018,1.3366125834199236,0.8162404669246156,0.8220335664280471,668.4553891421335,672.9956149868019,847.3563056937492,845.6492646124489,1.4993380493508266,1.474553534383925,0.811487399435863,0.7959108955075687
max,607.1337219672278,641.6145337971179,558.2313021802292,558.6262347108059,851.9077325985004,573.6758718066353,1.439148752249359,1.73844896448385,1.0268600591314678,0.9264052028431276,0.979729495094502,0.9099891366551792,573.4480457370898,621.864619811866,623.4231145622382,647.8461008813687,1.1153677446217465,1.237010437649809,0.959984779204378,0.9753177288958628,788.4278931948772,780.3350458394765,1006.5707381124428,917.2039533020268,1.630755260963348,1.8348069809779908,0.8999975567927658,0.913643929166846,775.6941854524847,771.2889273901659,979.797994500948,926.4575950576492,1.6376812291092515,1.7420010545691766,0.8355448365655391,0.8533992084269981
