,logs_2_sawmill_low,logs_2_sawmill_high,lumber_2_prod_low,lumber_2_prod_high,resin_n_hardender_low,resin_n_hardender_high,prod_2_const_low,prod_2_const_high
0,92.78636851143439,245.7389301779387,207.9441487852296,337.0764234907407,111.90822004919298,193.09875321996475,212.38474150452123,237.73872676072983
1,141.77283010548112,185.97040426369833,185.81868428208855,337.1312289776924,140.88425973445484,203.77766482738156,158.02954569515032,261.82013124226813
2,123.1933682937387,219.41196617094073,114.14583436823702,336.6572366543829,104.51331849956722,231.58932394481047,206.91045392784463,295.0889945007771
3,99.27796268664329,183.9869751594817,185.59122901298275,269.2202240310757,160.35902166835643,218.49185663148654,139.3951118950304,285.9264531367965
4,114.83910439669233,193.32282601901346,205.5652476019857,372.5338494839933,171.09112249082085,218.74533207209663,210.1203495314969,213.43499391822505
5,99.42885066412116,197.07004715928534,214.5276095150243,304.34525013367465,140.6391949023443,222.86223793218764,184.01194079724928,294.5589587503066
6,167.71228849354324,186.7223199953158,128.76911266762065,240.9112544819265,98.90880444266847,267.6284900755889,182.2880800605789,251.99200121200084
7,165.74204876029108,237.99092809768297,128.31048066532978,327.7871254947695,103.8855982743572,222.52481074698068,173.77813723674723,265.1689076430639
8,156.90727202777794,217.26190668829292,127.6008593080879,268.7511664260381,88.31215929442055,184.4803502310873,209.15104990566763,231.8622488570374
9,143.98758601735642,170.54683122969763,95.65297709104586,314.3421628906009,163.86988828091086,245.38385164955554,117.63536649439857,294.27121751760006
10,145.85301547699612,216.1956955542718,116.10991807918597,269.49785972730956,134.54844067665493,199.9655386501974,184.1788860358037,303.0380168652367
11,153.19423972846704,225.44909236997796,218.47487010811568,317.6611656194991,154.46580836742925,250.11074568352626,111.90480782122995,315.33527247527115
12,161.19501319690255,229.90240765923775,94.13793804383567,293.158475939628,156.49573915365193,256.60166490372603,123.10398950530167,255.6928424951921
13,94.26661679410472,216.44967283815302,162.4578085674251,326.55226622043597,123.23380927965428,232.5681204330188,174.8352592018679,258.5081640562028
14,97.32215412394069,209.53305131700517,217.51941452600232,321.55480787782324,170.98218004859473,207.3632041403086,175.61332428313457,269.1799634783963
15,112.39333853521515,173.3797156478342,180.6117750896413,270.76403436362256,149.89630938744298,228.66182771446438,126.39097633608573,235.17810673960352
16,92.59197406975984,194.5959423623611,203.23812061677663,242.3425879417267,86.38525651499039,261.8241217582946,126.52097593304276,285.6822526761192
17,163.84736438744872,207.8395093318747,233.54199573836186,308.5780930460321,88.94470816195201,191.49245694145299,146.25281213310055,236.05666402963976
18,116.34515355815563,222.2741387205186,143.37049816980854,311.6768764471522,148.76460401810178,178.38060838237735,125.23842342698674,299.67267965508466
19,124.36304926716191,225.65860444783962,235.61196098275624,317.1297773061766,174.25927407945625,179.01155373530617,107.15954614522828,258.5786347353674
20,153.43647074824733,234.38655333860305,206.5441631936061,253.2493043973589,159.2041495030889,237.52195818663031,115.58845078630785,234.18072399156847
21,154.72705818835843,175.2155721997837,153.58582439139735,292.2555500007435,89.62781917238016,205.35903627800104,207.52234969772059,238.95054787808039
22,127.2054847881507,240.63914268545886,178.7729551659284,275.5632235538059,171.35351771977082,221.84451655980376,176.66204361475812,314.6242912744334
23,136.3655352943146,195.02787650251096,230.49908573185672,327.47219890654014,139.52768157906792,191.8130842699796,135.50837705537498,297.10843651250445
24,157.77591431508876,221.37004268818083,112.8594437136982,268.79944053184755,160.59194302132585,176.35425417513085,178.89132020931686,311.0967721167089
25,100.87664695641965,213.22127303220884,174.58781536811634,375.86417800066863,149.9795755885382,237.76784409025362,153.9378093546007,292.2060478023464
26,104.85453081203487,180.54327444356898,217.37053356137537,321.4301715487027,101.01141827764661,195.93537811699372,178.64358197776266,235.5419798519362
27,159.4787746597633,231.71225086600037,134.1617461073182,313.02955179280923,119.99116662877837,193.34024323400422,165.18353043011962,242.86809562468179
28,157.94964520108846,201.78299756701867,211.86075844222114,313.31680700291855,116.89847872438918,211.52859786083948,123.55644350236216,259.75953089616326
29,116.91434326041411,201.14124279457607,210.00170412142745,299.3946371286649,100.34955070340084,256.6317208822471,141.15746763129246,220.26588484374574
30,166.6514754145354,193.77942716797196,146.33231965246543,312.7239591630959,109.59669396740549,183.14835973393988,186.86356847536646,241.31250130877487
31,149.67658663725192,195.08454266411243,154.51364384553878,269.3531693651756,109.24270186929408,213.22887398935717,190.20591772401303,265.6215697542849
